,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Gaurav_billonia,Professional Cricket Player 🏏🏏🏏🏏,"Delhi, India",14,56,23566,32,"And repeat it every year coz 8 Diyas barely cost Rs. 20, A flower Garland costs Rs. 15 &amp; other Diwali decorative starts at the same price. It won’t make a difference for us but for them it’s a days worth of income 💥🙏 #Diwali #HappyDiwali #Diwali2021 https://t.co/udwjMNf0E4",[]
1,ramasourav2011,,,17,5,464,31,"#GodMorningTuesday
""Jeene Ki Raah"" is being gifted by Spiritual Leader (@SaintRampalJiM) to you. Just contact at numbers given in Photo and get this #Diwali gift at your door step. For more information must watch sadhna channel at 7:30 pm.🌺🙏 https://t.co/GzdCnuRKme",['GodMorningTuesday']
2,Aakash11072004,"Live your Life 💗
    Live your dreams 💕","Bahadurgarh, India",190,2,120,1,"Here's why people make #Rangolis during #Diwali

#Diwali2021 
https://t.co/w8vI8B9nun","['Rangolis', 'Diwali', 'Diwali2021']"
3,iManisharmaa,धर्मो रक्षति रक्षितः,,164,144,856,4,Anil Deshmukh will celebrate #Diwali with Enforcement Directorate. He's been sent in ED custody till November 6 in the money laundering case #AnilDeshmukh  #AnilDeshmukhArrested https://t.co/mXcOW3JniS,['Diwali']
4,AamadmiGs,,,4289,5952,311147,47,"On the night of choti Deepawali keep a gift near the pillow of your children
Tell them in the morning that Lakshmi Mata came to give their #Diwali gift

Your kids will forget Santa and X-mas forever

#HappyDiwali 🪔 in advance 

RT if this makes u smile 😊",[]
5,UPSCPractice,A result-driven initiative to optimize #UPSC learning. An independent UPSC Prelims venture. Get the UPSC Prelims Mobile App from Google https://t.co/qKTgcsp8sQ,"New Delhi, India",0,251,11020,0,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/4TB0E3m4uK
#Arithmetic

🌟 https://t.co/9vLIhKNKfF #Diwali #Dhanteras #T20WorldCup https://t.co/Md3HsqophH","['Arithmetic', 'Diwali', 'Dhanteras', 'T20WorldCup']"
6,Parveen71482451,,,2,0,3,0,"Enter and Get a Chance to Win MSMART 7.0 | Mobilla
https://t.co/VBy6D6BH7A
@Mobilla0fficial #smartwatch #giveaway #msmart7 #mobilla #diwali #celebration","['smartwatch', 'giveaway', 'msmart7', 'mobilla', 'diwali', 'celebration']"
7,BioneDNA,Bione is asia’s first organization offering direct-to-consumer Genetic and Microbiome testing services.,"Whitefield, Bengaluru",21,65,718,0,"Diwali is a time to celebrate life, love and friendship. Mark the festival of light with a gift that makes healthy life simple for your loved ones. 
Visit our website: https://t.co/YN4i5pKII0 
#Bione #DNA #Diwali #festival #healthlife #wellness https://t.co/H2w2mbvoLw","['Bione', 'DNA', 'Diwali', 'festival', 'healthlife', 'wellness']"
8,SachinS15241167,,,66,6,113,186,"The splendid ancient city of Lord Rama lights up for #Diwali 

#Dhanteras | #धनतेरस | #Diwali2021 https://t.co/SvfjPeEmCl","['Diwali', 'Dhanteras', 'धनतेरस', 'Diwali2021']"
9,ArbindK01912519,I'm Arbind kumar I belong to dubauli presently student in B.C.A from (ignou) my hobby is playing cricket sing a song and my target to best singer it is my ...?,,871,2023,95389,27,"Auspiciousness is in the air, and we're making it even more special! Stay tuned!

#YehDiwaliPaytmMoneyWali #Diwali #HappyDiwali #MuhuratTrading https://t.co/OypcYrIRl8","['YehDiwaliPaytmMoneyWali', 'Diwali']"
10,dojo_bakery,"DOJO Bakery-A new boutique bakery in the bylanes of Prabhadevi, open for Walkins and delivering PanMumbai.Specialises in Sourdough,Breads,Desserts,Healthy items",Prabhadevi ,133,80,362,3,"*DOJO Bakery Diwali2021*- Hampers readying for delivery this weekend ✨✨Dm  us for details - *Vegan Hampers* available
#Diwali #food #gifting #Celebrations #welovefestivals @dojo_bakery 
@TimesFood @mid_day @mumbaimirrorinc @_things2do @MFLVentures @FoodThisWeek @imbevda https://t.co/2elHdBQAPo",[]
11,fairpackindia,"Manufacture and Supply of wide range of Corrugated Packaging Boxes. We offer Corrugated Boxes in a wide array that includes Mono-Cartons, Designer Box etc.","Bagru, Jaipur",57,36,13,0,"May the festival of Dhanteras brighten your life with eternal happiness, wealth and prosperity.
Wishing you and your family a very Happy Dhanteras 

#HappyDhanteras #Festival #Diwali #Lights #Dhanteras #Prosperity #Abundance #Happiness https://t.co/KvXRg3O4GX","['HappyDhanteras', 'Festival', 'Diwali', 'Lights', 'Dhanteras', 'Prosperity', 'Abundance', 'Happiness']"
12,BTSTSURESHOT,"There in the markets from last six years.
BTST TRADER with always sureshot Picks.

join my telegram channel  for  sureshot BTST picks - https://t.co/YnzmgPMQZL",India,388,329,8362,0,"@stockifi_Invest Yes sir that is true.
Meanwhile my #diwali picks
#StocksToBuy 
#StockMarketindia 
https://t.co/c8nhe6cui7","['diwali', 'StocksToBuy', 'StockMarketindia']"
13,Sarvesh_boreddy,Proud Hindu 🕉,"Kurnool, India",137,30,9381,889,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
14,smartliving_hcc,"Smart Living is Hampshire County Council's waste prevention and lifestyle initiative. This page is monitored 8am-4pm, Mon-Fri",Hampshire,482,479,2739,0,"Celebrating #Diwali this week? Check out this article on celebrating sustainably: https://t.co/H4VcnjUq3a

#Diwali2021","['Diwali', 'Diwali2021']"
15,dhinamum,,Kongu Naadu (கொங்கு நாடு)India,685,732,88587,1,"Why is Bhagwan Ram known as the Soul of India and Indian Civilisation? #Diwali - I did this short Ram Katha last Diwali. 

Watch the full video on: https://t.co/pcg7Y2GiDK

Jai Shree Ram. 🪔🙏 https://t.co/cRTA2RDhzB",['Diwali']
