,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,CollabMerch,,,36,0,28,0,"Happy Dhanteras to everyone 🪔
May Dhanteras Endow You With Opulence and Prosperity 🤞🙏

#happydhanteras #shubh #dhanteras #diwali #love #prosperity #blessings https://t.co/u3JZCmMYIG","['happydhanteras', 'shubh', 'dhanteras', 'diwali', 'love', 'prosperity', 'blessings']"
1,suryatej_borra,,"Hyderabad, India",831,786,20070,191,"The splendid ancient city of Lord Rama lights up for #Diwali 

#Dhanteras | #धनतेरस | #Diwali2021 https://t.co/SvfjPeEmCl","['Diwali', 'Dhanteras', 'धनतेरस', 'Diwali2021']"
2,Tap_a_Gain,"Consultant : Advertising, Digital, Social Media: regulatory compliance, Social Media strategist, Corporate Trainer, Communications  https://t.co/8ap7P9mBZI",Mumbai INDIA,655,282,866,0,"Wellwishers, wishing you all a very happy #diwali . Thank you for your support and encouragement. #followus on  https://t.co/3ymfOOppfk https://t.co/aEOmFL5eEs","['diwali', 'followus']"
3,nashik_feed,"This is an Experimental Bot. Follow @Nashik_feed for get updates from Nashik... Nashik News feeds, Nashik Live Updates @nashik_feed
RTs are not Endorsement 🔁","Nashik, India",480,2314,110509,1,"𝐇𝐚𝐩𝐩𝐲 𝐃𝐡𝐚𝐧𝐭𝐞𝐫𝐚𝐬 -

For more updates please contact on –
https://t.co/ZPDmxqfOIa

#Diwali #Dhanteras #Dhanotrayodashi #Frestival #Medical #Treatment #Exercise #Painfree #Paincontrol #Fitness #Multispecialityhospital #Vakratundahospital #Nashik https://t.co/VXjarLYOkJ","['Diwali', 'Dhanteras', 'Dhanotrayodashi']"
4,vishal_z3,"Vagabond: Yesterday, Today & Tomorrow | https://t.co/3zifSH1yov",,579,24,2778,0,"@rishibagree Halloween celebrated in #Dubai during #T20Worldcup by @imVkohli, @AnushkaSharma, @ImRo45, @hardikpandya7, @ishankishan51 with kids in attendance.

They might provide some insights: as ""meaning"" as #Diwali is intended to be. 🪔 

https://t.co/dBLoiGNNzL","['Dubai', 'T20Worldcup', 'Diwali']"
5,_Aware_Citizen,Just another common citizen asking uncommon questions.,lndia,2527,1260,175602,920,"US: For the first time, New York City will host a spectacular #Diwali fireworks show on the Hudson river. 

Until now, the only approved fireworks event was the July 4th Independence Day.
#Diwali2021",['Diwali']
6,diptija55836457,jain Dipti,,1980,395,27289,13,"#ContestAlert

Take the #DiwaliContest with The Ayurveda Co. ! Comment the right answers to all questions and stand a chance to win a hamper by the The Ayurveda Co. 

#Contest #Diwali #DiwaliGiveaway #GiveawayIndia #DiwaliQuiz #Giveaway https://t.co/iaSWnIgpmb","['ContestAlert', 'DiwaliContest']"
7,cbf158b83f234a9,,"Muzaffarnagar, India",609,111,1524,0,"@santhigram Ans Lamp 5. 
#DiwaliWithSanthigram #Contest #Diwali #ContestAlert #amazonvoucher #santhigramwellness #santhigramindia 
@santhigram 
@guptamansi0021 
@bansalnikitamca 
@iKaushik365","['DiwaliWithSanthigram', 'Contest', 'Diwali', 'ContestAlert', 'amazonvoucher', 'santhigramwellness', 'santhigramindia']"
8,prishaediting,The Best Video Editing company,,1774,44,42,0,"May you be showered with health, wealth, and happiness on this auspicious occasion. Happy Dhanteras!

#dhanteras #diwali #happydiwali #prishaproduction #videoediting https://t.co/aSDW9w7n9E","['dhanteras', 'diwali', 'happydiwali', 'prishaproduction', 'videoediting']"
9,Iyyappa28889234,✨😎Thalaivar super star🤘✨  🏏7️⃣Thala dhoni7️⃣🏏  ✝️Sivan🕉️pakthan☪️,,77,387,117590,606,"This #diwali catch up #Annaatthe , my mom #sreejaravi has done a kutti scene. Acted as a doctor. #enemy my voice for @mirnaliniravi  and #jaibhim my voice for @rajisha_vijayan ! 💥💥💥 @rajinikanth @SivaDirector4 @anandshank @tjgnan @Suriya_offl @VishalKOfficial @arya_offl","['diwali', 'Annaatthe', 'sreejaravi', 'enemy']"
10,SandeepMKrishna,I am student,"Kushtagi, India",727,23,5578,2,"Diwali Contest #Diwali #DiwaliContest #HappyDiwali #Contest #ContestAlert Win #iPhone13  #GiftVoucher #HeroGoPro #Giveaway and more Prize

#Play Here &amp; #Win #MaalFreeKaa
https://t.co/JZkGufGAkF https://t.co/vYXMEAsyiW","['Diwali', 'DiwaliContest', 'HappyDiwali', 'Contest', 'ContestAlert', 'iPhone13', 'GiftVoucher', 'HeroGoPro', 'Giveaway']"
11,AdityaUttamGite,,"Mulund West, Mumbai",208,85,196,0,"May Lord Kuber bless you with prosperity and success in life. Wishing you all a Blessed and Happy Dhanteras.

#diwali #deepawali #diwali2021 #dhanteras #dhanteras2021 https://t.co/s6m6vmHnjJ","['diwali', 'deepawali', 'diwali2021', 'dhanteras', 'dhanteras2021']"
12,k_yonzan,,,45,10,2272,8,"Consumer goods stores are facing a sold-out crisis this #Diwali.

Read more: https://t.co/HBiWwEBuBZ https://t.co/fBOwDnKOXy",['Diwali']
13,RajeshT37437692,Progressive thinker. Love my country.,,181,324,368,0,To all the liberals promoting Green and Cracker-Free #Diwali https://t.co/GFp3io5e8X,['Diwali']
14,SAMPALIND,,,268,165,42988,2475,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
15,Abigail29808882,22 | Student | Events,,22,566,96767,2,"Diwali Contest #Diwali #DiwaliContest #HappyDiwali #Contest #ContestAlert Win #iPhone13  #GiftVoucher #HeroGoPro #Giveaway and more Prize

#Play Here &amp; #Win #MaalFreeKaa
https://t.co/JZkGufGAkF https://t.co/vYXMEAsyiW","['Diwali', 'DiwaliContest', 'HappyDiwali', 'Contest', 'ContestAlert', 'iPhone13', 'GiftVoucher', 'HeroGoPro', 'Giveaway']"
16,AdityaSahu4th,"धर्मो रक्षति रक्षितः
Unapologetic 🇮🇳",India,952,64,4351,2475,US lawmaker to introduce Bill to make #Diwali Federal Holiday in U.S.,['Diwali']
